date,close,苹果：批发市场：交易数量（周）,苹果：批发市场：日均交易量（周）,苹果：冷库：出货量：中国（周）,苹果：冷库：库存：中国（周）
"2020-06-29","7932","","","",""
"2020-06-30","7968","","","",""
"2020-07-01","7975","","","",""
"2020-07-02","8113","","","",""
"2020-07-03","8111","24910.15","3558.593","22.54","274.24"
"2020-07-06","8114","","","",""
"2020-07-07","8063","","","",""
"2020-07-08","8107","","","",""
"2020-07-09","8170","","","",""
"2020-07-10","7870","21608.62","3086.946","22.54","251.69"
"2020-07-13","7779","","","",""
"2020-07-14","7784","","","",""
"2020-07-15","7760","","","",""
"2020-07-16","7581","","","",""
"2020-07-17","7580","20789.21","2969.887","26.89","224.79"
"2020-07-20","7705","","","",""
"2020-07-21","7595","","","",""
"2020-07-22","7644","","","",""
"2020-07-23","7465","","","",""
"2020-07-24","7539","18132.77","2590.396","27.73","197.05"
"2020-07-27","7474","","","",""
"2020-07-28","7471","","","",""
"2020-07-29","7352","","","",""
"2020-07-30","7288","","","",""
"2020-07-31","7185","20053.35","2864.764","40.05","157"
"2020-08-03","7144","","","",""
"2020-08-04","7174","","","",""
"2020-08-05","7095","","","",""
"2020-08-06","7009","","","",""
"2020-08-07","6835","24073.07","3439.01","32.5","124.5"
"2020-08-10","7186","","","",""
"2020-08-11","7110","","","",""
"2020-08-12","7114","","","",""
"2020-08-13","7222","","","",""
"2020-08-14","7015","23769.92","3395.703","21.72","102.77"
"2020-08-17","6945","","","",""
"2020-08-18","7032","","","",""
"2020-08-19","6997","","","",""
"2020-08-20","6879","","","",""
"2020-08-21","6891","25756.86","3679.551","8.81","93.96"
"2020-08-24","6992","","","",""
"2020-08-25","6984","","","",""
"2020-08-26","6917","","","",""
"2020-08-27","6886","","","",""
"2020-08-28","6859","23453.24","3350.463","9.47","84.48"
"2020-08-31","6842","","","",""
"2020-09-01","6856","","","",""
"2020-09-02","6768","","","",""
"2020-09-03","6692","","","",""
"2020-09-04","6766","27612.73","3944.676","11.44","73.04"
"2020-09-07","6880","","","",""
"2020-09-08","7233","","","",""
"2020-09-09","7092","","","",""
"2020-09-10","7121","","","",""
"2020-09-11","7048","28174.39","4024.91","12.89","60.14"
"2020-09-14","7048","","","",""
"2020-09-15","6884","","","",""
"2020-09-16","6760","","","",""
"2020-09-17","6705","","","",""
"2020-09-18","7436","27550.48","3935.78","9.6","50.54"
"2020-09-21","7427","","","",""
"2020-09-22","7468","","","",""
"2020-09-23","7355","","","",""
"2020-09-24","7539","","","",""
