date,close,煤炭：国有重点煤矿企业：产量：中国（旬）,原煤：大型煤炭企业：产量累计值（月）,原煤：大型煤炭企业：产量累计同比（月）,洗精煤：大型煤炭企业：产量累计值：中国（月）,洗精煤：大型煤炭企业：产量累计同比：中国（月）,煤矿：国有重点煤矿企业：产量：中国（月）,统计局：中国：工业产品：产量：原煤（月）,煤炭：国有重点煤矿企业：销售数合计：中国（旬）,煤炭：国有重点煤矿企业：销售数合计：中国（月）,煤炭：销量：中国（月）,煤炭：重点发电企业：供应量：中国（旬）,煤炭：重点发电企业：消费量：中国（旬）,煤炭：国有重点煤矿企业：库存：中国（旬）,煤炭：重点发电企业：库存平均可用天数：中国（旬）,煤炭：重点发电企业：库存：中国（旬）,煤炭：重点发电企业：库存同期增减：中国（月）,样本洗煤厂（110家）：精煤：库存：中国（周）,样本洗煤厂（110家）：煤炭：开工率：中国（周）,样本洗煤厂（110家）：精煤：日均产量：中国（周）,样本洗煤厂（110家）：原煤：库存：中国（周）,炼焦煤：进口：港口库存（周）,230家独立焦化厂：炼焦煤：库存：中国（周）,炼焦煤：247家钢厂样本焦化厂：库存：中国（周）,炼焦煤：矿山企业库存：中国（周）,炼焦煤：独立焦化企业：库存：中国（周）,炼焦煤：独立焦化企业：平均可用天数：中国（周）
"2017-10-16","1175","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-17","1160","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-18","1160.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-19","1097","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-20","1152.5","5217","","","","","","","3853","","","","","1504","","","","","","","","199.7","1504.81","1111.08","158.6","",""
"2017-10-23","1118.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-24","1088.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-25","1103","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-26","1101.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-27","1095","","","","","","","","","","","","","","","","","","","","","192.3","1399.26","1114.64","165","",""
"2017-10-30","1094","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-10-31","1063.5","","203262.7","8.2","69558.7","4.1","14903.09","28354.3","","13001.76","28500","10881","9486","","25","7745","1186","","","","","","","","","",""
"2017-11-01","1079","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-02","1139","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-03","1130","","","","","","","","","","","","","","","","","","","","","205.5","1330.96","1097.76","192.39","",""
"2017-11-06","1166.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-07","1185","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-08","1185.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-09","1207.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-10","1214.5","","","","","","","","","","","3600","3300","","24","7799","","","","","","218.4","1241.8","1108.41","208.05","",""
"2017-11-13","1210.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-14","1213","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-15","1166.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-16","1168.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-17","1177","","","","","","","","","","","","","","","","","","","","","217.8","1121.92","1091.24","217.95","",""
"2017-11-20","1211","5257","","","","","","","3896","","","7200","7020","1501","23","7935","","","","","","","","","","",""
"2017-11-21","1227.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-22","1299.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-23","1299","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-24","1339.5","","","","","","","","","","","","","","","","","","","","","241.6","1142.38","1097.83","209.85","",""
"2017-11-27","1314","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-28","1330","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-29","1329.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-11-30","1383","","224787.7","7.6","76323.6","3.6","14989.1","29997.5","","13245.55","29700","11070","10860","","21","7792","803","","","","","","","","","",""
"2017-12-01","1403","","","","","","","","","","","","","","","","","","","","","244.1","1140.92","1111.1","232.17","",""
"2017-12-04","1381","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-05","1354.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-06","1363.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-07","1258","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-08","1265.5","","","","","","","","","","","","","","","","","","","","","215.7","1157.95","1108.18","190.71","",""
"2017-12-11","1277.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-12","1285.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-13","1285","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-14","1236.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-15","1268.5","","","","","","","","","","","","","","","","","","","","","207.94","1187.65","1091.06","179.76","",""
"2017-12-18","1350.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-19","1379.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-20","1378","5196","","","","","","","4083","","","7680","8520","1461","16","6843","","","","","","","","","","",""
"2017-12-21","1374.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-22","1392.5","","","","","","","","","","","","","","","","","","","","","196.1","1355.8","1133.34","148.76","",""
"2017-12-25","1317","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-26","1326","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-27","1292.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-28","1301.5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-12-29","1313","","","","","","","","","","","","","","","","","","","","","207","1428.14","1119.94","135.76","",""
