date,close,苯乙烯：表观消费量环比：中国（月）,苯乙烯：表观消费量同比：中国（月）,苯乙烯：产量同比：中国（周）,苯乙烯：产量：中国（周）,苯乙烯：检修减损量：中国（月）,苯乙烯：开工率：中国（日）,苯乙烯：产能：中国（日）,苯乙烯：产能：中国企业（月）,苯乙烯：表观消费量：中国（月）,苯乙烯：中国企业：产量：新口径（月）,苯乙烯：样本工厂：库存：中国（周）
"2020-08-24","5720","","","","","","84.06","34206","","","",""
"2020-08-25","5716","","","","","","84.06","34206","","","",""
"2020-08-26","5642","","","","","","84.06","34206","","","",""
"2020-08-27","5741","","","","","","84.06","34206","","","",""
"2020-08-28","5728","","","27.25","201068.63","","85.9","34206","","","","215033"
"2020-08-29","","","","","","","85.9","34206","","","",""
"2020-08-30","","","","","","","88.1","34206","","","",""
"2020-08-31","5782","","13.76","","","","88.15","34206","1060386","113.360873","900206.79",""
"2020-09-01","5784","","","","","","85.23","34206","","","",""
"2020-09-02","5834","","","","","","85.2","34206","","","",""
"2020-09-03","5774","","","","","","85.2","34206","","","",""
"2020-09-04","5736","","","33.19","206378.63","","85.44","34206","","","","200755"
"2020-09-05","","","","","","","85.58","34206","","","",""
"2020-09-06","","","","","","","85.58","34206","","","",""
"2020-09-07","5682","","","","","","86.02","34206","","","",""
"2020-09-08","5635","","","","","","86.02","34206","","","",""
"2020-09-09","5605","","","","","","85.36","35257","","","",""
"2020-09-10","5714","","","","","","86.35","35257","","","",""
"2020-09-11","5694","","","32.44","207158.63","","85.21","35257","","","","176802"
"2020-09-12","","","","","","","85.21","35257","","","",""
"2020-09-13","","","","","","","85.36","35257","","","",""
"2020-09-14","5742","","","","","","86.15","35257","","","",""
"2020-09-15","5710","","","","","","86.15","35257","","","",""
"2020-09-16","5780","","","","","","86.43","35257","","","",""
"2020-09-17","5742","","","","","","86.43","35257","","","",""
"2020-09-18","5812","","","27.38","211878.63","","87.45","35257","","","","161839"
"2020-09-19","","","","","","","87.73","35257","","","",""
"2020-09-20","","","","","","","87.87","35257","","","",""
"2020-09-21","5746","","","","","","87.82","35257","","","",""
"2020-09-22","5629","","","","","","87.82","35257","","","",""
"2020-09-23","5670","","","","","","87.82","35257","","","",""
"2020-09-24","5590","","","","","","87.82","35257","","","",""
"2020-09-25","5622","","","29.97","216587.63","","87.89","35257","","","","139339"
"2020-09-26","","","","","","","87.89","35257","","","",""
"2020-09-27","","","","","","","87.89","35257","","","",""
"2020-09-28","5470","","","","","","87.89","35257","","","",""
"2020-09-29","5665","","","","","","83.06","35257","","","",""
"2020-09-30","5596","0.59","14.94","","","","83.04","35257","1049302","114.03","905573.7",""
"2020-10-01","","","","","","","83.22","35257","","","",""
"2020-10-02","","","","22.93","211847.63","","86.06","35257","","","","138259"
"2020-10-03","","","","","","","87.48","35257","","","",""
"2020-10-04","","","","","","","88.04","35257","","","",""
"2020-10-05","","","","","","","88.04","35257","","","",""
"2020-10-06","","","","","","","88.04","35257","","","",""
"2020-10-07","","","","","","","88.04","35257","","","",""
"2020-10-08","","","","","","","88.21","35257","","","",""
"2020-10-09","5648","","","26.08","216387.63","","87.65","35257","","","","154139"
"2020-10-10","","","","","","","86.96","35257","","","",""
"2020-10-11","","","","","","","86.96","35257","","","",""
"2020-10-12","5740","","","","","","86.96","35257","","","",""
"2020-10-13","5942","","","","","","86.96","35257","","","",""
"2020-10-14","6171","","","","","","86.96","35257","","","",""
"2020-10-15","6194","","","","","","86.96","35257","","","",""
"2020-10-16","6173","","","28.1","214867.63","","85.63","35257","","","","126440"
"2020-10-17","","","","","","","85.45","35257","","","",""
"2020-10-18","","","","","","","85.45","35257","","","",""
"2020-10-19","6324","","","","","","85.76","35257","","","",""
"2020-10-20","6422","","","","","","86.33","35257","","","",""
"2020-10-21","6405","","","","","","86.33","35257","","","",""
"2020-10-22","6506","","","","","","86.33","35257","","","",""
"2020-10-23","6271","","","28.56","211987.63","","85.86","35257","","","","122160"
"2020-10-24","","","","","","","85.86","35257","","","",""
"2020-10-25","","","","","","","86","35257","","","",""
"2020-10-26","6359","","","","","","85.94","35257","","","",""
"2020-10-27","6437","","","","","","85.94","35257","","","",""
"2020-10-28","6599","","","","","","85.94","35257","","","",""
"2020-10-29","6832","","","","","","85.94","35257","","","",""
"2020-10-30","6746","","","35.53","212067.63","","85.74","35257","","","","119820"
"2020-10-31","","-2.44","-2.55","","","","85.74","35257","1092967","111.2486274","945173.79",""
"2020-11-01","","","","","","","86.54","35257","","","",""
"2020-11-02","7004","","","","","","86.54","35257","","","",""
"2020-11-03","6961","","","","","","84.76","35257","","","",""
"2020-11-04","7276","","","","","","84.76","35257","","","",""
"2020-11-05","7081","","","","","","86.46","35257","","","",""
"2020-11-06","6990","","","32.64","211737.63","","86.46","35257","","","","106037"
"2020-11-07","","","","","","","86.46","35257","","","",""
"2020-11-08","","","","","","","85.61","35257","","","",""
"2020-11-09","7391","","","","","","85.61","35257","","","",""
"2020-11-10","7388","","","","","","84.19","35257","","","",""
"2020-11-11","7600","","","","","","84.19","35257","","","",""
"2020-11-12","7600","","","","","","84.19","35257","","","",""
"2020-11-13","7860","","","26.07","210381.63","","84.74","35257","","","","102232"
"2020-11-14","","","","","","","84.74","35257","","","",""
"2020-11-15","","","","","","","80.23","35257","","","",""
"2020-11-16","8299","","","","","","81.26","35257","","","",""
"2020-11-17","7960","","","","","","81.26","35257","","","",""
"2020-11-18","7677","","","","","","81.26","35257","","","",""
"2020-11-19","7518","","","","","","81.26","35257","","","",""
"2020-11-20","7527","","","22.4","202646.63","","81.29","35257","","","","102561"
"2020-11-21","","","","","","","81.7","35257","","","",""
"2020-11-22","","","","","","","81.7","35257","","","",""
"2020-11-23","7612","","","","","","81.01","36158","","","",""
"2020-11-24","7280","","","","","","82.02","36158","","","",""
"2020-11-25","7340","","","","","","82.63","36158","","","",""
"2020-11-26","7350","","","","","","83.04","36158","","","",""
"2020-11-27","7532","","","20.99","205122.63","","82.29","36158","","","","101739"
"2020-11-28","","","","","","","82.24","36158","","","",""
"2020-11-29","","","","","","","82.24","36158","","","",""
"2020-11-30","7623","-6.06","4.45","","","","82.32","36158","1064918","104.5102986","888420.7",""
"2020-12-01","7411","","","","","","83.03","36158","","","",""
"2020-12-02","7318","","","","","","81.73","36158","","","",""
"2020-12-03","7350","","","","","","79.65","36158","","","",""
"2020-12-04","7090","","","27.76","207367.63","","77.39","36158","","","","107278"
"2020-12-05","","","","","","","77.39","36158","","","",""
"2020-12-06","","","","","","","77.39","36158","","","",""
"2020-12-07","7290","","","","","","79.79","36158","","","",""
"2020-12-08","7139","","","","","","80.62","36158","","","",""
"2020-12-09","6930","","","","","","80.62","36158","","","",""
"2020-12-10","6756","","","","","","80.62","36158","","","",""
"2020-12-11","6814","","","22.56","200247.63","","80.62","36158","","","","105218"
"2020-12-12","","","","","","","80.62","36158","","","",""
"2020-12-13","","","","","","","76.61","36158","","","",""
"2020-12-14","6822","","","","","","79.01","36158","","","",""
"2020-12-15","6834","","","","","","79.01","36158","","","",""
"2020-12-16","6647","","","","","","79.01","36158","","","",""
"2020-12-17","6881","","","","","","77.63","36158","","","",""
"2020-12-18","6943","","","22.63","199775.63","","77.81","36158","","","","115539"
"2020-12-19","","","","","","","80.02","36158","","","",""
"2020-12-20","","","","","","","80.85","36158","","","",""
"2020-12-21","6674","","","","","","81.57","36158","","","",""
"2020-12-22","6486","","","","","","82.36","36158","","","",""
"2020-12-23","6377","","","","","","83.19","36158","","","",""
"2020-12-24","6483","","","","","","83.19","36158","","","",""
"2020-12-25","6455","","","23.13","205726.63","","86.59","36158","","","","111938"
"2020-12-26","","","","","","","87.78","36158","","","",""
"2020-12-27","","","","","","","87.91","36158","","","",""
"2020-12-28","6130","","","","","","87.91","36158","","","",""
"2020-12-29","6082","","","","","","87.91","36158","","","",""
"2020-12-30","6185","","","","","","87.83","36158","","","",""
"2020-12-31","6356","1.68","-1.29","","","","87.86","36158","1120898","106.261966","916059.79",""
"2021-01-01","","","","34.88","221946.63","","87.08","36158","","","","124043"
"2021-01-02","","","","","","","87.08","36158","","","",""
"2021-01-03","","","","","","","87.08","36158","","","",""
"2021-01-04","6364","","","","","","86.17","36158","","","",""
"2021-01-05","6411","","","","","","86.17","36158","","","",""
"2021-01-06","6600","","","","","","86.17","36158","","","",""
"2021-01-07","6660","","","","","","86.17","36158","","","",""
"2021-01-08","6698","","","32.39","219096.63","","86.95","36158","","","","151941"
"2021-01-09","","","","","","","86.03","36158","","","",""
"2021-01-10","","","","","","","86.03","36158","","","",""
"2021-01-11","6679","","","","","","85.87","36158","","","",""
"2021-01-12","6758","","","","","","82.66","36158","","","",""
"2021-01-13","6898","","","","","","78.51","36158","","","",""
"2021-01-14","6689","","","","","","78.51","36158","","","",""
"2021-01-15","6790","","","24.6","211366.63","","78.61","36158","","","","148697"
"2021-01-16","","","","","","","79.86","36158","","","",""
"2021-01-17","","","","","","","79.47","36158","","","",""
