date,close,PVC：产量：中国（日）,PVC：地方企业：产能利用率：中国（周）,PVC：电石法：开工率：中国（周）,PVC：乙烯法：开工率：中国（周）,PVC：表观消费量：中国（月）,PVC：成交量：中国（日）,PVC：看跌比例：中国（周）,PVC：看升比例：中国（周）,PVC：预售量：中国（周）,PVC：社会库存：中国（周）,PVC型材：开工率：中国（周）,PVC管材：开工率：中国（周）,PVC糊树脂：产量：中国（月）,碳化钙：平均开工率：中国企业（周）,碳化钙：产量：中国（周）,碳化钙：检修减损量：中国（周）
"2020-11-06","7120","5.83","76.69","79.77","60.7","","0.52","18","20","51.99","17.87","64","49","","82.96","28.68","3.81"
"2020-11-07","","5.94","","","","","","","","","","","","","","",""
"2020-11-08","","5.85","","","","","","","","","","","","","","",""
"2020-11-09","7275","5.98","","","","","1.14","","","","","","","","","",""
"2020-11-10","7050","5.96","","","","","0.56","","","","","","","","","",""
"2020-11-11","7060","5.94","","","","","0.69","","","","","","","","","",""
"2020-11-12","7035","5.94","","","","","0.99","","","","","","","","","",""
"2020-11-13","7335","5.9","78.92","81.24","67.1","","0.85","19","15","54.32","14.99","61","53.33","","85.31","29.4","3.28"
"2020-11-14","","5.92","","","","","","","","","","","","","","",""
"2020-11-15","","5.98","","","","","","","","","","","","","","",""
"2020-11-16","7475","6.08","","","","","0.84","","","","","","","","","",""
"2020-11-17","7525","6.03","","","","","0.78","","","","","","","","","",""
"2020-11-18","7515","6.06","","","","","0.82","","","","","","","","","",""
"2020-11-19","7450","5.87","","","","","0.68","","","","","","","","","",""
"2020-11-20","7375","6.03","79.94","82.2","69.4","","0.31","14","19","60.66","12.93","54","41.67","","82.57","28.86","3.81"
"2020-11-21","","5.97","","","","","","","","","","","","","","",""
"2020-11-22","","6.11","","","","","","","","","","","","","","",""
"2020-11-23","7480","6.11","","","","","0.83","","","","","","","","","",""
"2020-11-24","7435","6.03","","","","","0.65","","","","","","","","","",""
"2020-11-25","7355","6.03","","","","","0.65","","","","","","","","","",""
"2020-11-26","7360","6.03","","","","","0.51","","","","","","","","","",""
"2020-11-27","7585","6.02","80.27","81.8","71.57","","0.76","17","5","63.55","9.96","50","41.67","","82.47","28.46","4.1"
"2020-11-28","","6.02","","","","","","","","","","","","","","",""
"2020-11-29","","6.02","","","","","","","","","","","","","","",""
"2020-11-30","7455","6.11","","","","172.92","0.69","","","","","","","8.7967","","",""
"2020-12-01","7750","6.25","","","","","0.72","","","","","","","","","",""
"2020-12-02","7665","6.15","","","","","0.51","","","","","","","","","",""
"2020-12-03","7710","6.31","","","","","0.42","","","","","","","","","",""
"2020-12-04","7840","6.33","81.09","83.08","71.77","","0.64","6","3","60.22","7.37","50","39","","80.86","28.15","4.52"
"2020-12-05","","6.35","","","","","","","","","","","","","","",""
"2020-12-06","","6.35","","","","","","","","","","","","","","",""
"2020-12-07","7940","6.37","","","","","0.53","","","","","","","","","",""
"2020-12-08","7830","6.37","","","","","0.5","","","","","","","","","",""
"2020-12-09","8125","6.13","","","","","0.56","","","","","","","","","",""
"2020-12-10","8200","6.14","","","","","0.45","","","","","","","","","",""
"2020-12-11","8380","6.14","81.64","83.59","72.49","","0.42","12","13","62.06","7.53","43","13.33","","78.28","28.59","4.28"
"2020-12-12","","6.16","","","","","","","","","","","","","","",""
"2020-12-13","","6.13","","","","","","","","","","","","","","",""
"2020-12-14","7950","6.23","","","","","0.52","","","","","","","","","",""
"2020-12-15","7880","6.25","","","","","0.63","","","","","","","","","",""
"2020-12-16","7685","6.26","","","","","0.32","","","","","","","","","",""
"2020-12-17","7675","6.29","","","","","0.42","","","","","","","","","",""
"2020-12-18","7520","6.29","79.43","83.86","61.62","","0.65","20","3","58.21","8.09","36","33.33","","80.84","29.09","3.58"
"2020-12-19","","6.21","","","","","","","","","","","","","","",""
"2020-12-20","","6.25","","","","","","","","","","","","","","",""
"2020-12-21","7620","6.21","","","","","0.42","","","","","","","","","",""
"2020-12-22","7465","6.23","","","","","0.31","","","","","","","","","",""
"2020-12-23","7475","6.23","","","","","0.26","","","","","","","","","",""
"2020-12-24","7410","6.25","","","","","0.34","","","","","","","","","",""
