date,close,澳洲&巴西铁矿石：发货量：19个港口（周）,铁矿：澳大利亚产：发货量合计：19个港口：澳大利亚→中国（周）,铁矿：发货量：FMG→中国（周）,铁矿：发货量：BHP→中国（周）,铁矿：发货量：力拓→中国（周）,铁矿：发货量：巴西：淡水河谷（周）,铁矿：到港量：45个港口（周）,铁矿：船舶到港量：45个港口（周）,铁矿：出口数量合计：中国（月）,铁矿：进口数量合计：中国（月）,烧结用矿粉：出口数量合计：中国（月）,烧结用矿粉：进口数量合计：中国（月）,块矿：出口数量合计：中国（月）,块矿：进口数量合计：中国（月）,已烧结的铁矿砂及其精矿：出口数量合计：中国（月）,已烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁精粉：出口数量合计：中国（月）,铁精粉：进口数量合计：中国（月）,未烧结的铁矿砂及其精矿：出口数量合计：中国（月）,未烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁矿：进口数量初值：中国（月）,铁矿：进口数量终值：中国（月）,铁矿：出口数量：巴西→中国（月）,铁矿：出口数量：澳大利亚→中国（月）,铁矿：进口数量：中国→巴西（月）,铁矿：进口数量：中国→澳大利亚（月）,186家矿山企业（363座矿山）：产能利用率（周）,186家矿山企业（363座矿山）：铁精粉：产量（周）,铁矿：采剥掘量合计：重点企业（月）,成品铁矿石：产量：重点企业（月）,铁精矿：产量：重点企业（月）,铁矿：产量：重点企业（月）,统计局：中国：工业产品：产量：原矿（月）,铁矿：进口：日均消耗量：247家钢铁企业（周）,烧结用矿粉：进口：日均消耗量：114家钢铁企业（周）,烧结用矿粉：国产：日均消耗量：114家钢铁企业（周）,铁矿：进口：日均疏港量合计：45个港口（周）,铁矿：成交量合计：中国主要港口（日）,铁矿：现货日均成交量合计：贸易商：中国主要港口（周）,块矿：入炉比：114家钢铁企业（周）,球团：入炉比：114家钢铁企业（周）,烧结矿：进口：配比：114家钢铁企业（周）,烧结矿：入炉比：114家钢铁企业（周）,烧结矿：入炉品位：114家钢铁企业（周）,铁矿：远期现货累计成交量（日）,126家矿山企业（266座矿山）：铁精粉：库存：中国（周）,烧结用矿粉：进口：库存：114家钢铁企业（周）,铁矿：进口：库存消费比：247家钢铁企业（周）,铁矿：进口：库存：247家钢铁企业（周）,烧结用矿粉：国产：库存：64家钢厂（周）,烧结用矿粉：进口：库存消费比：64家钢厂（周）,铁矿：进口：平均可用天数：64家钢厂（周）,铁矿：进口：库存：45个港口（日）,铁精粉：库存：45个港口（周）,球团：进口：库存：45个港口（周）,块矿：库存：45个港口（周）,粗粉：进口：库存：45个港口（周）,铁矿：澳大利亚产：库存：45个港口（周）,铁矿：巴西产：库存：45个港口（周）,贸易矿：进口：库存：45个港口（周）,铁矿：进口：压港量合计：45个港口（周）,铁矿：进口：堆场容积合计：45个港口（周）,中国：铁矿：修正产量（月）
"2016-12-29","569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-12-30","548","","","319.9","459.7","461.4","602.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","261.1","","64.27","","","","","","","","","","","","","","11439","596","193","1645","9005","6075","2421","3596","","",""
"2016-12-31","","","","","","","","","","500.15","88946367.687","0","64405204.569","0","15998860.84","0","1365126.468","500.15","7177168.81","500.15","87581234.219","8895","8895","21245411.49","62890140","","1383","","","9025.29","908.89","881.53","2900.35","11938.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11938.6"
"2017-01-03","534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-04","542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-05","550.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-06","538.5","","","258.9","378.7","522.8","575.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249.9","","65.35","","","","","","","","","","","67.95","32.75","30","11732","574","189","1668","9301","6266","2488","3684","","",""
"2017-01-09","571.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-10","594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-11","601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-12","607.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-13","607","","","242.4","438.5","413.6","435.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269.2","","67.2","","","","","","","","","","","","","","11899","594","208","1631","9466","6343","2509","3665","","",""
"2017-01-16","653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-17","638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-18","638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-19","637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
