date,close,甲醇：港口库存：中国（周）,甲醇：厂内库存：中国（周）,甲醇：社会库存：中国（周）,甲醇：传统下游厂家：采购量：中国（周）,二氯乙烷：产量：中国（月）,甲醇：采购量：中国（月）,冰醋酸：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（月）,甲醇：开工率同比：中国（月）,甲醇：原料：下游厂家：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：平均开工率：中国（周）,二甲醚：开工率：中国（周）,甲醇：产量同比：中国（日）,甲醇：待发订单：数量：中国（周）,甲醇：产量：中国（日）,甲醇：开工率：中国（日）,甲醇：签约订单：数量：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（周）,甲醛：开工率：中国（周）,甲醇：期末库存：中国（月）,三氯甲烷：产量：中国（日）,甲醇：除中国以外的生产企业：开工率：全球（日）,甲醇：到港量：中国（周）,甲醇：表观消费量环比：中国（月）,甲醇：产能同比：中国（日）,甲醇：表观消费量：中国（月）,甲醇：产能：中国（日）,甲醇：表观消费量同比：中国（月）,甲醇：产能：国外（日）,甲醛：产量：中国（月）,二氯甲烷：平均开工率：中国（周）
"2018-09-02","","","","","","","","","","","","","","","","204155.71","73.3131","","","","","","","","","","","278470.9925","","","",""
"2018-09-03","3212","","","","","","","","","","","","","","","203615.71","73.1192","","","","","","","","","","","278470.9925","","","",""
"2018-09-04","3244","","","","","","","","","","","","","","","205195.71","73.6866","","","","","","","","","","","278470.9925","","","",""
"2018-09-05","3281","","","","","","","","","","","","","","","204515.71","73.4424","","","","","","","","","","","278470.9925","","","",""
"2018-09-06","3276","","","","","","","","","","","","","","","202845.71","72.8427","","","","","","","","","","","278470.9925","","","",""
"2018-09-07","3356","667700","124980","792680","13400","","","","","","24900","76.25","","","229080","202345.71","72.6631","","224300","","","","","24.11","","","","278470.9925","","","","67.31"
"2018-09-08","","","","","","","","","","","","","","","","201465.71","72.3471","","","","","","","","","","","278470.9925","","","",""
"2018-09-09","","","","","","","","","","","","","","","","201765.71","72.4548","","","","","","","","","","","278470.9925","","","",""
"2018-09-10","3394","","","","","","","","","","","","","","","205015.71","73.6219","","","","","","","","","","","278470.9925","","","",""
"2018-09-11","3338","","","","","","","","","","","","","","","205115.71","73.6578","","","","","","","","","","","278470.9925","","","",""
"2018-09-12","3277","","","","","","","","","","","","","","","204995.71","73.6147","","","","","","","","","","","278470.9925","","","",""
"2018-09-13","3239","","","","","","","","","","","","","","","204095.71","73.2916","","","","","","","","","","","278470.9925","","","",""
"2018-09-14","3259","617700","122330","740030","16000","","","","","","20160","75","","","225220","202295.71","72.6452","","273000","","","","","17.19","","","","278470.9925","","","","69.3"
"2018-09-15","","","","","","","","","","","","","","","","202175.71","72.6021","","","","","","","","","","","278470.9925","","","",""
"2018-09-16","","","","","","","","","","","","","","","","201985.71","72.5338","","","","","","","","","","","278470.9925","","","",""
"2018-09-17","3264","","","","","","","","","","","","","","","197755.71","71.0148","","","","","","","","","","","278470.9925","","","",""
"2018-09-18","3249","","","","","","","","","","","","","","","194885.71","69.9842","","","","","","","","","","","278470.9925","","","",""
"2018-09-19","3337","","","","","","","","","","","","","","","194085.71","69.6969","","","","","","","","","","","278470.9925","","","",""
"2018-09-20","3340","","","","","","","","","","","","","","","194185.71","69.7328","","","","","","","","","","","278470.9925","","","",""
"2018-09-21","3340","596000","126480","722480","17100","","","","","","23600","75","","","227430","194985.71","70.0201","","294000","","","","","21.04","","","","278470.9925","","","","72.2"
"2018-09-22","","","","","","","","","","","","","","","","201305.71","72.2897","","","","","","","","","","","278470.9925","","","",""
"2018-09-23","","","","","","","","","","","","","","","","202405.71","72.6847","","","","","","","","","","","278470.9925","","","",""
"2018-09-24","","","","","","","","","","","","","","","","199255.71","71.5535","","","","","","","","","","","278470.9925","","","",""
"2018-09-25","3331","","","","","","","","","","","","","","","198315.71","71.2159","","","","","","","","","","","278470.9925","","","",""
"2018-09-26","3250","","","","","","","","","","","","","","","197015.71","70.7491","","","","","","","","","","","278470.9925","","","",""
"2018-09-27","3249","","","","","","","","","","","","","","","198115.71","71.1441","","","","","","","","","","","278470.9925","","","",""
