date,close,唐山55家调坯轧钢铁企业：螺纹钢：产能利用率（周）,唐山55家调坯轧钢铁企业：螺纹钢：产量（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：需求量：钢坯（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：日均需求量：钢坯（周）,螺纹钢：建筑钢材钢铁企业：产能估算覆盖率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能利用率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能：中国（周）,螺纹钢：建筑钢材钢铁企业：开工率：中国（周）,螺纹钢：建筑钢材钢铁企业：实际产量：中国（周）,螺纹钢：建筑钢材钢铁企业：实际开工条数：中国（周）,螺纹钢：建筑钢材钢铁企业：覆盖产能：中国（周）,螺纹钢：建筑钢材钢铁企业：产线条数：中国（周）,建筑用钢：终端市场：采购量：上海（周）,螺纹钢：消费量：中国（周）,钢筋：表观消费量：中国（月）,螺纹钢：库存：中国（周）,螺纹钢：建筑钢材钢铁企业：厂内库存：中国（周）,螺纹钢：132城市429仓库：社会库存：中国（周）,螺纹钢：社会库存：中国（旬）
"2016-10-12","2358","","","","","","","","","","","","","","","","","","",""
"2016-10-13","2354","","","","","","","","","","","","","","","","","","",""
"2016-10-14","2399","","","","","64.56","71.4","456.17","79","325.72","241","23786","305","46577","379.83","","713.09","282.09","",""
"2016-10-17","2431","","","","","","","","","","","","","","","","","","",""
"2016-10-18","2441","","","","","","","","","","","","","","","","","","",""
"2016-10-19","2434","","","","","","","","","","","","","","","","","","",""
"2016-10-20","2486","","","","","","","","","","","","","","","","","","",""
"2016-10-21","2485","","","","","64.56","71.2","456.17","80","324.98","244","23786","305","29590","377.13","","660.94","251.3","",""
"2016-10-24","2491","","","","","","","","","","","","","","","","","","",""
"2016-10-25","2569","","","","","","","","","","","","","","","","","","",""
"2016-10-26","2534","","","","","","","","","","","","","","","","","","",""
"2016-10-27","2512","","","","","","","","","","","","","","","","","","",""
"2016-10-28","2588","","","","","64.56","69.3","456.17","78.7","316.08","240","23786","305","23100","331.41","","645.61","246.72","",""
"2016-10-31","2600","","","","","","","","","","","","","","","1797.98","","","",""
"2016-11-01","2613","","","","","","","","","","","","","","","","","","",""
"2016-11-02","2610","","","","","","","","","","","","","","","","","","",""
"2016-11-03","2691","","","","","","","","","","","","","","","","","","",""
"2016-11-04","2716","","","","","64.56","70.4","456.17","80.3","321.14","245","23786","305","30121","336.13","","630.62","241.61","",""
"2016-11-07","2889","","","","","","","","","","","","","","","","","","",""
"2016-11-08","2836","","","","","","","","","","","","","","","","","","",""
"2016-11-09","3015","","","","","","","","","","","","","","","","","","",""
"2016-11-10","2987","","","","","","","","","","","","","","","","","","",""
"2016-11-11","3126","","","","","64.56","70.2","456.17","79.7","320.29","243","23786","305","22680","340.08","","610.83","224.67","",""
"2016-11-14","2945","","","","","","","","","","","","","","","","","","",""
"2016-11-15","2858","","","","","","","","","","","","","","","","","","",""
"2016-11-16","2816","","","","","","","","","","","","","","","","","","",""
"2016-11-17","2814","","","","","","","","","","","","","","","","","","",""
"2016-11-18","2772","","","","","64.56","69.4","456.17","80","316.46","244","23786","305","20650","306.02","","621.27","239.3","",""
"2016-11-21","2714","","","","","","","","","","","","","","","","","","",""
"2016-11-22","2900","","","","","","","","","","","","","","","","","","",""
"2016-11-23","2954","","","","","","","","","","","","","","","","","","",""
"2016-11-24","2951","","","","","","","","","","","","","","","","","","",""
"2016-11-25","3154","","","","","64.56","68.2","456.17","78","310.99","238","23786","305","28520","287.79","","644.47","254.49","",""
"2016-11-28","3188","","","","","","","","","","","","","","","","","","",""
"2016-11-29","3062","","","","","","","","","","","","","","","","","","",""
"2016-11-30","3000","","","","","","","","","","","","","","","1721.99","","","",""
"2016-12-01","3187","","","","","","","","","","","","","","","","","","",""
"2016-12-02","3126","","","","","64.56","65.9","456.17","73.8","300.66","225","23786","305","23720","281.11","","664.02","255.99","",""
"2016-12-05","3204","","","","","","","","","","","","","","","","","","",""
"2016-12-06","3217","","","","","","","","","","","","","","","","","","",""
"2016-12-07","3382","","","","","","","","","","","","","","","","","","",""
"2016-12-08","3394","","","","","","","","","","","","","","","","","","",""
"2016-12-09","3345","","","","","64.56","63.7","456.17","72.1","290.76","220","23786","305","24282","286.16","","668.62","254.22","",""
"2016-12-12","3444","","","","","","","","","","","","","","","","","","",""
"2016-12-13","3505","","","","","","","","","","","","","","","","","","",""
"2016-12-14","3375","","","","","","","","","","","","","","","","","","",""
"2016-12-15","3413","","","","","","","","","","","","","","","","","","",""
