date,close,菜粕：产量：中国（周）,主要油厂：菜粕：库存：中国（周）,菜粕：沿海油厂：提货量：中国（月）,菜粕：颗粒：消费量：南通（周）
"2017-04-14","2410","5.21","5.61","",""
"2017-04-17","2419","","","",""
"2017-04-18","2405","","","",""
"2017-04-19","2449","","","",""
"2017-04-20","2441","","","",""
"2017-04-21","2436","6.04","5.85","",""
"2017-04-24","2464","","","",""
"2017-04-25","2460","","","",""
"2017-04-26","2403","","","",""
"2017-04-27","2392","","","",""
"2017-04-28","2399","5.7","7.38","",""
"2017-05-02","2477","","","",""
"2017-05-03","2467","","","",""
"2017-05-04","2473","","","",""
"2017-05-05","2449","4.65","7.7","",""
"2017-05-08","2420","","","",""
"2017-05-09","2414","","","",""
"2017-05-10","2430","","","",""
"2017-05-11","2431","","","",""
"2017-05-12","2372","5.01","6.2","",""
"2017-05-15","2358","","","",""
"2017-05-16","2346","","","",""
"2017-05-17","2373","","","",""
"2017-05-18","2327","","","",""
"2017-05-19","2323","5.68","6.25","",""
"2017-05-22","2345","","","",""
"2017-05-23","2322","","","",""
"2017-05-24","2330","","","",""
"2017-05-25","2330","","","",""
"2017-05-26","2293","6.07","6.55","",""
"2017-05-31","2187","","","",""
"2017-06-01","2205","","","",""
"2017-06-02","2207","5.01","6.53","",""
"2017-06-05","2219","","","",""
"2017-06-06","2218","","","",""
"2017-06-07","2223","","","",""
"2017-06-08","2232","","","",""
"2017-06-09","2237","5.58","6.12","",""
"2017-06-12","2235","","","",""
"2017-06-13","2221","","","",""
"2017-06-14","2243","","","",""
"2017-06-15","2238","","","",""
"2017-06-16","2253","5.31","4.35","",""
"2017-06-19","2272","","","",""
"2017-06-20","2275","","","",""
"2017-06-21","2273","","","",""
"2017-06-22","2232","","","",""
"2017-06-23","2219","4.14","4.12","",""
"2017-06-26","2228","","","",""
"2017-06-27","2230","","","",""
"2017-06-28","2224","","","",""
"2017-06-29","2234","","","",""
"2017-06-30","2216","5.65","5.12","",""
"2017-07-03","2328","","","",""
"2017-07-04","2341","","","",""
"2017-07-05","2344","","","",""
"2017-07-06","2343","","","",""
"2017-07-07","2349","5.69","5.76","",""
"2017-07-10","2406","","","",""
"2017-07-11","2411","","","",""
"2017-07-12","2416","","","",""
"2017-07-13","2393","","","",""
"2017-07-14","2340","5.31","5.51","",""
"2017-07-17","2335","","","",""
"2017-07-18","2339","","","",""
"2017-07-19","2334","","","",""
"2017-07-20","2345","","","",""
"2017-07-21","2358","6.61","5.52","",""
"2017-07-24","2289","","","",""
"2017-07-25","2330","","","",""
"2017-07-26","2276","","","",""
"2017-07-27","2285","","","",""
"2017-07-28","2291","5.01","4.47","",""
"2017-07-31","2333","","","",""
"2017-08-01","2317","","","",""
"2017-08-02","2312","","","",""
"2017-08-03","2279","","","",""
"2017-08-04","2182","4.76","3.34","",""
"2017-08-07","2190","","","",""
"2017-08-08","2229","","","",""
"2017-08-09","2242","","","",""
"2017-08-10","2252","","","",""
"2017-08-11","2177","6.11","3.5","",""
"2017-08-14","2166","","","",""
"2017-08-15","2157","","","",""
"2017-08-16","2140","","","",""
"2017-08-17","2152","","","",""
"2017-08-18","2150","4.82","3.5","",""
"2017-08-21","2165","","","",""
"2017-08-22","2184","","","",""
"2017-08-23","2182","","","",""
"2017-08-24","2176","","","",""
"2017-08-25","2177","4.88","2.04","",""
"2017-08-28","2194","","","",""
"2017-08-29","2177","","","",""
"2017-08-30","2155","","","",""
"2017-08-31","2151","","","",""
"2017-09-01","2153","6.48","3.17","",""
"2017-09-04","2166","","","",""
"2017-09-05","2170","","","",""
"2017-09-06","2177","","","",""
"2017-09-07","2192","","","",""
"2017-09-08","2163","5.67","4.65","",""
"2017-09-11","2172","","","",""
"2017-09-12","2166","","","",""
"2017-09-13","2123","","","",""
"2017-09-14","2146","","","",""
"2017-09-15","2159","5.28","4.91","",""
"2017-09-18","2172","","","",""
"2017-09-19","2157","","","",""
"2017-09-20","2162","","","",""
"2017-09-21","2184","","","",""
"2017-09-22","2248","4.99","3.85","",""
"2017-09-25","2258","","","",""
"2017-09-26","2244","","","",""
"2017-09-27","2243","","","",""
"2017-09-28","2220","","","",""
"2017-09-29","2174","4.26","2.67","",""
"2017-10-06","","2.55","","",""
"2017-10-09","2213","","","",""
"2017-10-10","2213","","","",""
"2017-10-11","2207","","","",""
"2017-10-12","2204","","","",""
"2017-10-13","2284","3.55","2","",""
"2017-10-16","2276","","","",""
"2017-10-17","2269","","","",""
"2017-10-18","2264","","","",""
"2017-10-19","2275","","","",""
"2017-10-20","2273","3.33","","",""
"2017-10-23","2249","","","",""
"2017-10-24","2242","","","",""
"2017-10-25","2254","","","",""
"2017-10-26","2224","","","",""
"2017-10-27","2209","4.65","2.13","",""
"2017-10-30","2216","","","",""
"2017-10-31","2192","","","",""
"2017-11-01","2199","","","",""
"2017-11-02","2207","","","",""
"2017-11-03","2202","2.7","1.87","",""
"2017-11-06","2193","","","",""
"2017-11-07","2215","","","",""
"2017-11-08","2222","","","",""
"2017-11-09","2236","","","",""
"2017-11-10","2206","4.08","2.12","",""
"2017-11-13","2227","","","",""
"2017-11-14","2226","","","",""
"2017-11-15","2256","","","",""
"2017-11-16","2284","","","",""
"2017-11-17","2277","5.05","3.94","",""
"2017-11-20","2328","","","",""
"2017-11-21","2343","","","",""
"2017-11-22","2327","","","",""
"2017-11-23","2319","","","",""
"2017-11-24","2333","3.95","4.7","",""
"2017-11-27","2310","","","",""
"2017-11-28","2314","","","",""
"2017-11-29","2311","","","",""
"2017-11-30","2301","","","",""
"2017-12-01","2281","2.43","6.05","",""
"2017-12-04","2341","","","",""
"2017-12-05","2329","","","",""
"2017-12-06","2355","","","",""
"2017-12-07","2373","","","",""
"2017-12-08","2367","2.58","6.35","",""
"2017-12-11","2347","","","",""
"2017-12-12","2345","","","",""
"2017-12-13","2350","","","",""
"2017-12-14","2326","","","",""
"2017-12-15","2324","2.55","5.7","",""
"2017-12-18","2339","","","",""
"2017-12-19","2333","","","",""
"2017-12-20","2315","","","",""
